iter,emax,log_compression,n_live
564,-0.1981915344755065,-0.008333333333333333,120
565,-0.19839979284198375,-0.008333333333333333,120
566,-0.1985513963308888,-0.008333333333333333,120
567,-0.19861049678017734,-0.008333333333333333,120
568,-0.1989991999221261,-0.008333333333333333,120
569,-0.19916025813120652,-0.008333333333333333,120
570,-0.19933489798834408,-0.008333333333333333,120
571,-0.19970003612107864,-0.008333333333333333,120
572,-0.19973013555219854,-0.008333333333333333,120
573,-0.20003897901044745,-0.008333333333333333,120
574,-0.20035361770265825,-0.008333333333333333,120
575,-0.20076213619554578,-0.008333333333333333,120
576,-0.20076944228344298,-0.008333333333333333,120
577,-0.20082977270195562,-0.008333333333333333,120
578,-0.2009658380708796,-0.008333333333333333,120
579,-0.20178092239728335,-0.008333333333333333,120
